hospital_name,facility_type,district,latitude,longitude,ownership_type,ownership_encoded,tier,tier_encoded,specialties,opd_fee_npr,emergency_available,bed_capacity,rating,ambulance_service,parking_available,phone
ojus hospital,hospital,Kathmandu,27.5114612490874,83.4595738599592,Private,2,Premium,2,"Neurology, Urology, Orthopedics, General Surgery, Cardiology, General Medicine",2172,True,111,4.1,True,False,
Mahesh Pur Health Post,clinic,Dang,27.0451869558379,85.0475539984712,Private,2,Standard,1,Dermatology,1295,False,0,3.6,True,True,
Kuchibang Community Health Care Unit,clinic,Birgunj,28.5756167795226,82.6274261404246,Private,2,Standard,1,Dermatology,1316,False,0,3.4,True,False,
Inarwamal Health Care,clinic,Sarlahi,26.9460887204459,85.1540603275262,Private,2,Budget,0,"Gastroenterology, Infectious Disease, General Medicine",376,False,0,2.6,False,True,
Amahi Belha Health Post,clinic,Kaski,26.4570865614653,87.1896438185116,Private,2,Budget,0,General Medicine,273,False,0,2.9,False,True,
Basic Health Care Center Sakhuwa Madan,clinic,Bardiya,26.7036605275199,86.1797470295275,Private,2,Budget,0,"Infectious Disease, Dermatology",337,False,0,3.1,False,True,
Medical,clinic,Sarlahi,,,Private,2,Budget,0,"Gastroenterology, General Medicine",583,True,0,3.1,True,False,
डोहोटे सहरी सामुदायिक स्वास्थ्य केन्द्र शिनपा -१२ डोहोटे,hospital,Birgunj,27.7734065359148,83.072734527809,Private,2,Premium,2,"General Medicine, General Surgery, Infectious Disease, Dermatology, Urology, Endocrinology",1429,True,389,5.0,True,True,
"Diabetes, Thyroid and Heart Center Nepal Pvt. Ltd.",clinic,Kathmandu,27.718166273602,85.3064344424033,Private,2,Budget,0,Gastroenterology,583,True,0,2.8,False,False,
District Health Center,hospital,Kathmandu,,,Private,2,Premium,2,"General Medicine, Urology, Infectious Disease, Cardiology, Neurology, Endocrinology",1815,True,304,4.5,True,True,
Adharbhut Swasthya Sewa Kendra,clinic,Hetauda,27.3578471992738,84.5875853271602,Private,2,Budget,0,"Infectious Disease, Dermatology",557,True,0,2.9,False,False,
Pariwar Syasthya Clinic,clinic,Palpa,27.5796097261064,85.5493448462188,Private,2,Standard,1,Infectious Disease,815,False,0,3.8,False,True,
शितल आयुर्वेदिक मेडिकल हल,clinic,Bhaktapur,28.1310626796048,82.2977055389074,Private,2,Budget,0,"General Medicine, Infectious Disease, Gastroenterology",203,False,0,3.2,False,False,
Sijal Pharmacy,clinic,Bardiya,27.5191826582908,83.4545065803956,Private,2,Budget,0,Dermatology,286,False,0,3.0,False,False,
Mid Point Research and Diagnostic Center,clinic,Nepalgunj,28.7918838791776,81.3881912605196,Private,2,Standard,1,"Dermatology, General Medicine",1335,False,0,4.1,False,True,
भिजन पोलिक्लिनिक,hospital,Kathmandu,27.6754330681096,85.3448618642355,Private,2,Premium,2,"Endocrinology, Pulmonology, Gastroenterology, Dermatology, Neurology, Cardiology",2007,True,197,4.2,True,True,
Badara dubauliya health post,hospital,Makwanpur,27.4668540176834,83.7305526591128,Private,2,Premium,2,"General Medicine, Urology, Orthopedics, Dermatology, Infectious Disease, General Surgery",1003,True,300,5.0,True,True,
Lagankhel Poly Clinic,clinic,Kaski,,,Private,2,Standard,1,"Dermatology, Gastroenterology, Infectious Disease",599,True,0,4.0,True,True,
Majhaou Basic Health Care Center,clinic,Palpa,26.4989434389809,86.7130694235474,Private,2,Budget,0,Gastroenterology,235,False,0,2.8,False,False,
नेपाल प्रहरी अस्पताल,hospital,Kathmandu,27.7310241968892,85.3235714948987,Private,2,Premium,2,"Cardiology, General Medicine, Infectious Disease, Dermatology, General Surgery, Endocrinology",2584,True,146,3.7,True,True,
Santada Hospital,hospital,Kathmandu,28.7900844522043,81.8506510334539,Private,2,Standard,1,"General Medicine, Cardiology, Endocrinology, Dermatology",1213,True,137,3.9,True,False,
जोहाङग प्राथमिक स्वास्थ्य केन्द्र,hospital,Bardiya,28.0229891861135,83.4408909330616,Private,2,Premium,2,"Dermatology, Pulmonology, Cardiology, Urology, Gastroenterology, Orthopedics",1855,True,295,3.9,True,True,
Sandha Health Post,clinic,Nepalgunj,26.7179679333229,85.7635421187041,Private,2,Budget,0,"Dermatology, Infectious Disease",468,False,0,3.4,True,False,
Pithuwa Swastha Chowki,clinic,Biratnagar,27.6500109234224,84.5456706983317,Private,2,Budget,0,"General Medicine, Infectious Disease, Gastroenterology",413,False,0,2.9,True,False,
Uttamnagar Basic Health center,hospital,Kathmandu,27.7024077927216,83.1885299334178,Private,2,Premium,2,"Pulmonology, Orthopedics, Gastroenterology, Dermatology, Endocrinology, Neurology",2340,True,384,5.0,True,True,
Balaudi Health Post,hospital,Bhaktapur,29.7676253347389,81.2795456183177,Private,2,Premium,2,"Endocrinology, Pulmonology, Dermatology, Cardiology, Gastroenterology, Orthopedics",1590,True,345,4.6,True,True,
Raskot Community Hospital,hospital,Kathmandu,29.2403856878521,81.6361695306319,Private,2,Premium,2,"Endocrinology, Urology, Orthopedics, Gastroenterology, Neurology, Cardiology",2501,True,159,4.2,True,True,
Health post raikawar bichawa,clinic,Parbat,28.7713107492953,80.5219185500518,Private,2,Budget,0,"Dermatology, Gastroenterology, General Medicine",420,False,0,2.7,True,False,
Malika Model Polyclinic,clinic,Hetauda,28.6464917220059,81.0936415438137,Private,2,Budget,0,"Infectious Disease, General Medicine",287,False,0,2.7,False,True,
Hardik Healthcare,clinic,Kathmandu,27.6769213588371,85.319190693205,Private,2,Budget,0,"Infectious Disease, Dermatology",290,False,0,2.9,False,True,
Manmaya Memorial Physiotherapy Center,clinic,Dolpa,28.0525382446473,81.6151996852724,Private,2,Standard,1,"Gastroenterology, General Medicine, Infectious Disease",883,True,0,3.3,False,True,9848027568
टिबि नेपाल नेपालगन्ज क्षयरोग रेफरल सेन्टर,hospital,Hetauda,28.0610163720692,81.6319844463774,Private,2,Standard,1,"General Surgery, Endocrinology, Infectious Disease, Orthopedics",690,True,183,3.9,True,False,
Radheshyam Pharmaceutical,clinic,Pokhara,27.0183028395992,84.8739699805278,Private,2,Budget,0,"Dermatology, Infectious Disease, General Medicine",560,False,0,2.8,False,True,
Community Health Promotion Centre,clinic,Banke,,,Community/NGO,1,Standard,1,"General Medicine, Dermatology, Infectious Disease",637,True,0,4.1,False,False,
Dolakha District Hospital,hospital,Bhaktapur,27.6350710192059,86.2312203807351,Private,2,Premium,2,"General Medicine, Pulmonology, Neurology, Cardiology, Orthopedics, Gastroenterology",1405,False,279,3.8,False,True,
Sahari swasthya clinic jangale,clinic,Dharan,28.9542933952673,81.5539695473138,Private,2,Budget,0,"Infectious Disease, Dermatology, Gastroenterology",449,False,0,2.8,False,False,
कोटेश्वर मेडिकल,clinic,Kathmandu,27.6792409667213,85.3492802168553,Private,2,Standard,1,"Infectious Disease, Dermatology, General Medicine",686,False,0,3.1,False,False,
Sagarmatha Zonal Hospital,hospital,Bardiya,,,Private,2,Standard,1,"Urology, Pulmonology, Dermatology, Gastroenterology",1014,True,185,3.9,True,True,031-520155
भेरिगंगा नगरपालिका आधारभुत स्वास्थ्य केन्द्र,clinic,Lamjung,28.4991702183618,81.7178115306558,Private,2,Budget,0,General Medicine,256,False,0,2.9,False,False,
मोतिपुर प्राथमिक स्वासथ केन्द्र,clinic,Birgunj,27.6251307525943,83.4026428839572,Private,2,Budget,0,Infectious Disease,430,False,0,2.9,False,False,
Samudaaik Swaasthya Ikaai,clinic,Lalitpur,26.9293850961636,87.3215248506817,Private,2,Budget,0,"General Medicine, Dermatology, Gastroenterology",490,True,0,3.1,True,True,
Manju Aayorbedh Pherma,clinic,Kathmandu,27.6751018991152,85.3598448514343,Private,2,Budget,0,"Gastroenterology, General Medicine, Dermatology",308,False,0,3.5,False,False,
Betan Health Post,hospital,Dharan,28.8848951764851,81.1692451369723,Private,2,Premium,2,"General Medicine, Dermatology, Cardiology, Gastroenterology, General Surgery, Orthopedics",1380,True,310,3.6,True,True,
मझखोरी सामुदायिक स्वास्थ्य इकाइ,clinic,Tanahu,29.5813369499744,81.0196761936303,Private,2,Budget,0,"General Medicine, Infectious Disease, Gastroenterology",302,False,0,2.7,True,False,
मानपकडी स्वास्थ्य चौकी,clinic,Sarlahi,27.6158047956664,83.3718700675602,Private,2,Budget,0,"Infectious Disease, Gastroenterology",230,False,0,3.1,False,False,
Lokanda Birthing Center,clinic,Tanahu,29.6559127541659,81.3414027226338,Private,2,Standard,1,Infectious Disease,1267,True,0,4.2,True,False,
खन स्वास्थ चौकी,hospital,Dharan,28.0398938922529,83.1241066256262,Private,2,Premium,2,"Urology, Dermatology, General Surgery, Orthopedics, Gastroenterology, Infectious Disease",1374,True,270,4.6,True,True,
Chitwan Ankha Hospital,hospital,Mustang,27.6780876168446,84.4315617316414,Private,2,Premium,2,"Urology, Orthopedics, General Medicine, Neurology, General Surgery, Dermatology",2657,True,317,4.4,True,True,
Chanai healthpost,clinic,Nepalgunj,27.6426211861275,82.8946346757117,Private,2,Budget,0,"Infectious Disease, General Medicine, Gastroenterology",588,False,0,2.6,False,False,
जनस्वास्थ्य सेवा दैनिकर,clinic,Nepalgunj,29.3255499312276,81.7984149290575,Private,2,Budget,0,"Infectious Disease, Dermatology",298,True,0,2.6,False,True,
Lifeline Care Hospital And Research Centre Pvt. Ltd.,clinic,Parbat,,,Private,2,Standard,1,"Infectious Disease, Gastroenterology, Dermatology",765,False,0,4.1,True,True,
अर्घा स्वास्थ्य चैाकि,hospital,Hetauda,28.0215892406455,83.0982055389917,Private,2,Standard,1,"General Medicine, Infectious Disease, Cardiology, Urology",1423,True,164,4.1,True,True,
Nepal Fertility Care Center,doctors,Kathmandu,27.6749478397348,85.303948286103,Private,2,Standard,1,General Medicine,1392,False,0,4.1,False,True,
सामुदायिक स्वास्थ ईकाइ भर्तापुर,hospital,Dang,27.8430799325782,83.2167599318491,Private,2,Premium,2,"Cardiology, Infectious Disease, Neurology, Endocrinology, Urology, Pulmonology",1837,True,121,4.8,True,True,
Mata Manakamana Arogya Clinic,clinic,Kathmandu,27.7049082820763,85.3226260162207,Private,2,Standard,1,"Gastroenterology, Dermatology, Infectious Disease",951,True,0,3.7,False,True,
Vauratar Chapkaiya Basic Health Service Centre,clinic,Dhanusha,27.0806872494439,84.8228002218531,Private,2,Budget,0,Gastroenterology,520,False,0,2.9,False,False,
सामुदायिक स्वास्थ्य केन्द्र थर्पु,clinic,Kathmandu,28.4452342640018,82.7892684531265,Private,2,Standard,1,Dermatology,1434,False,0,3.8,False,True,
मनमोहन मेमोरियल पूर्वाञ्चल क्षेत्रीय सामुदायिक अस्पताल,hospital,Chitwan,26.6437942928457,87.9968449825451,Private,2,Standard,1,"Endocrinology, General Medicine, Pulmonology, Urology",1139,False,83,3.4,True,True,
Green Cross Hospital,hospital,Biratnagar,26.4580276815536,87.282744718364,Private,2,Premium,2,"Infectious Disease, Cardiology, Neurology, Dermatology, General Medicine, Gastroenterology",1223,True,346,4.0,True,True,
Panchala Hospital,hospital,Palpa,28.8575899534309,81.9396748917836,Private,2,Standard,1,"General Surgery, General Medicine, Gastroenterology, Neurology",1389,False,133,3.4,True,False,
jilla pashusewa karyalaya dhangadhi,hospital,Hetauda,,,Private,2,Premium,2,"Gastroenterology, General Medicine, Neurology, Infectious Disease, Endocrinology, Dermatology",2303,True,403,4.3,True,True,091-524444
Thargaun hospital,hospital,Birgunj,28.9102930974721,82.8123027612376,Private,2,Premium,2,"Neurology, Gastroenterology, Urology, Endocrinology, Cardiology, Dermatology",1340,True,341,4.3,False,True,
Charka Clinic,clinic,Kathmandu,29.0905896787531,83.4097647356267,Private,2,Standard,1,"Gastroenterology, Infectious Disease, General Medicine",581,True,0,3.8,False,False,
Jang Health Post,clinic,Rupandehi,28.688938769324,82.7098046582803,Private,2,Budget,0,"Infectious Disease, General Medicine, Gastroenterology",350,True,0,3.4,True,False,
Sahari swasthya clinic khara,clinic,Biratnagar,28.903003021006,81.5313465391914,Private,2,Standard,1,"Dermatology, Gastroenterology, Infectious Disease",587,False,0,4.0,False,False,
Trust Clinic,clinic,Chitwan,26.9867915775326,85.893402022562,Private,2,Budget,0,"General Medicine, Infectious Disease, Dermatology",393,False,0,3.0,False,False,
Dino Children Clinic,clinic,Kathmandu,27.6763832406533,85.3979193951429,Private,2,Budget,0,"Gastroenterology, General Medicine, Dermatology",263,False,0,3.3,True,True,
milan clinic,clinic,Butwal,27.5040762894773,83.4502177281798,Private,2,Budget,0,"General Medicine, Gastroenterology, Infectious Disease",341,True,0,2.8,False,True,
Badagaun health post,hospital,Sunsari,28.5539583608174,82.2410713660968,Private,2,Premium,2,"General Medicine, Gastroenterology, Orthopedics, Endocrinology, General Surgery, Pulmonology",1131,True,181,4.4,True,True,
Samudayak Swasthya Ikai,clinic,Birgunj,28.3844222991925,82.4831389695482,Private,2,Budget,0,"General Medicine, Gastroenterology, Dermatology",375,True,0,2.9,True,True,
Nagar Swastha Kendra,clinic,Kathmandu,26.7070369257563,86.4789428351626,Private,2,Budget,0,"Gastroenterology, Dermatology",215,False,0,2.7,False,False,
Health Post Kanakpatti,clinic,Lamjung,26.7225980966359,85.9712241378526,Private,2,Budget,0,"General Medicine, Infectious Disease",499,False,0,2.6,False,False,
श्री रण अम्बिका आँखा अस्पताल,hospital,Birgunj,27.496907163874,83.4578477746387,Private,2,Premium,2,"Gastroenterology, Endocrinology, Dermatology, General Medicine, General Surgery, Urology",1480,True,458,5.0,False,True,
Lekhgaun Birthing Center,clinic,Dolpa,29.0038451951723,81.4738408999079,Private,2,Budget,0,"Dermatology, Gastroenterology",444,False,0,3.0,False,True,
Jenaral Health Clinic,clinic,Biratnagar,27.0874929357256,84.9303370220841,Private,2,Budget,0,Gastroenterology,448,False,0,3.3,False,False,
Prasansha Medical Clinic,clinic,Mustang,28.6382809772952,81.1270529833297,Private,2,Budget,0,"Dermatology, General Medicine, Infectious Disease",544,True,0,3.4,False,False,
Sallay Hospital Areya,hospital,Myagdi,,,Private,2,Standard,1,"Neurology, Pulmonology, Gastroenterology, Orthopedics",1278,True,90,3.9,True,False,
Balagi Clinic,clinic,Kathmandu,28.0590024521937,81.6174798982117,Private,2,Budget,0,"General Medicine, Infectious Disease",251,False,0,2.8,False,False,
Ekarahiya Health Post,hospital,Morang,,,Private,2,Premium,2,"General Surgery, Neurology, Gastroenterology, Urology, Orthopedics, Dermatology",1019,True,188,4.6,True,True,
हार्जङ स्वास्थ्य चौकी,clinic,Dharan,28.3162211838216,82.7861785483406,Private,2,Budget,0,"General Medicine, Dermatology",231,False,0,2.7,False,False,
Janasewa Swasthya and Polyclinic,clinic,Dang,26.7362044400575,85.9198463403412,Private,2,Budget,0,General Medicine,336,False,0,2.5,False,False,
Nepal Indo Hospital And Center Pvt. Ltd.,hospital,Sunsari,26.9958095833379,84.8639449728751,Private,2,Premium,2,"Pulmonology, Endocrinology, Gastroenterology, Infectious Disease, Neurology, Cardiology",2539,True,441,4.4,True,True,
"Basic Health service Centre, Amarhat",clinic,Myagdi,26.8338074277425,87.2924735933775,Private,2,Standard,1,Gastroenterology,1478,False,0,4.1,True,False,
तोषि स्वास्थ्य चौकी,clinic,Lalitpur,28.9876212672087,81.3633956630946,Private,2,Standard,1,"General Medicine, Gastroenterology",507,False,0,3.0,False,True,
मध्य पश्चिचम क्षेत्रीय प्रहरी अस्पताल,hospital,Chitwan,28.0786974938995,81.642696183357,Private,2,Standard,1,"Urology, Orthopedics, Neurology, Endocrinology",1181,True,129,3.4,True,True,
Golden Hospital,hospital,Biratnagar,26.4585249798689,87.2842234537219,Private,2,Premium,2,"Gastroenterology, Urology, Pulmonology, General Surgery, Cardiology, Infectious Disease",2192,True,220,3.6,True,True,
Tiwari Poly Clinic and Diagnostic Center,clinic,Bardiya,,,Private,2,Standard,1,"General Medicine, Dermatology",1308,False,0,4.1,False,False,
National Aayurveda Research Center,hospital,Kathmandu,26.9736499268229,85.8820952542761,Private,2,Premium,2,"Infectious Disease, Dermatology, General Medicine, Neurology, Pulmonology, Cardiology",1085,True,385,4.0,True,True,
"Basic Health Center, Bhanu Tole",clinic,Kathmandu,26.7614020335587,87.1777724452279,Private,2,Budget,0,"Infectious Disease, Dermatology",249,False,0,3.3,False,False,
Wellness Health Pathology,doctors,Kathmandu,27.7057933272324,85.3091076827824,Private,2,Standard,1,General Medicine,716,False,0,3.8,False,False,
Aashank Medical Hall,clinic,Bardiya,27.5162489921801,83.4522202486669,Private,2,Standard,1,General Medicine,1034,False,0,3.2,False,False,
Samudayak Swastha Khop Kendra,hospital,Dharan,28.1105089957378,81.6959467494945,Private,2,Premium,2,"General Medicine, Pulmonology, Orthopedics, Gastroenterology, Cardiology, Neurology",2621,True,102,3.5,True,True,
Bijay Medical Hall,clinic,Dharan,27.5174698163773,83.4528133521355,Private,2,Budget,0,"Dermatology, Gastroenterology, General Medicine",203,False,0,2.9,True,True,
Uttam Health Care,clinic,Itahari,26.7575187816375,85.2778472910778,Private,2,Standard,1,"General Medicine, Infectious Disease, Gastroenterology",884,False,0,3.9,True,False,
जिल्ला स्वास्थ कार्यालय जलुके,hospital,Chitwan,27.9136905936545,82.9585875910972,Private,2,Premium,2,"Infectious Disease, General Surgery, Dermatology, Orthopedics, General Medicine, Urology",2234,True,459,4.0,False,True,
Health Post Portaha,clinic,Sunsari,26.5570297765163,86.8847593828308,Private,2,Budget,0,Dermatology,466,False,0,2.6,False,True,
निर्माता आइभीएफ नेपाल प्रा.लि.,clinic,Kathmandu,27.6592900255116,85.3237598362629,Private,2,Standard,1,Gastroenterology,1485,False,0,3.9,False,True,
Niglihawa Healthpost,clinic,Myagdi,27.6146697183387,83.0966338483277,Private,2,Budget,0,"Dermatology, Infectious Disease, Gastroenterology",589,False,0,3.3,False,True,
Dun-sel Clinic,clinic,Pokhara,28.2622623468659,83.9572235446248,Private,2,Budget,0,"Infectious Disease, General Medicine, Dermatology",336,False,0,2.6,False,False,
Chamunda bindrasaini bindrasaini pandhra saiyako hospital,hospital,Dharan,28.907131192138,81.5198731386704,Private,2,Premium,2,"Urology, Pulmonology, Cardiology, General Medicine, Dermatology, Infectious Disease",2908,True,349,3.7,True,True,
Phulbari Health Post,health_post,Banke,28.6031776506236,80.7148542869472,Government,0,Budget,0,General Medicine,348,False,0,3.8,False,False,
"Simardahi Health Post, Simardahi",clinic,Itahari,26.6392249821496,85.8355483666588,Private,2,Standard,1,Infectious Disease,984,True,0,3.1,True,False,
INF Surkhet Leprosy and Disability Referral Centre,hospital,Hetauda,,,Private,2,Premium,2,"Cardiology, Endocrinology, Gastroenterology, Orthopedics, Dermatology, Infectious Disease",2550,True,176,3.6,True,True,
धन्चौर स्वास्थ्य चाैकि,hospital,Dharan,27.9250030616345,83.0645751641648,Private,2,Standard,1,"General Medicine, Neurology, Cardiology, Pulmonology",845,True,90,3.9,True,True,
सिद्दमना सहरि स्वास्थ्य ईकाई केन्द्र,clinic,Morang,29.6205932582114,81.1883299761271,Private,2,Standard,1,Infectious Disease,1118,False,0,3.7,False,True,
Lekphant Health Post,hospital,Pokhara,28.3496118362178,83.5973982482125,Private,2,Premium,2,"Cardiology, Dermatology, Gastroenterology, General Surgery, Neurology, Endocrinology",1879,True,284,4.9,True,True,
रनियापुर स्वास्थ्य चौकी,clinic,Lalitpur,28.1534614718173,81.5747603552215,Private,2,Standard,1,"Gastroenterology, General Medicine, Dermatology",844,False,0,3.9,False,True,
Swastha Chauki Raghunathpur,clinic,Sarlahi,26.9840507790139,85.338783224235,Private,2,Budget,0,Gastroenterology,389,False,0,2.9,False,True,
सामुदायीक स्वास्थ्य ईकाइ केन्द्र बागमारा रोल्पा,clinic,Nepalgunj,28.500919270097,82.5328902587489,Private,2,Budget,0,"General Medicine, Gastroenterology",549,False,0,3.0,False,False,
Hamro Aspatal Pvt.Ltd,hospital,Biratnagar,26.4842436762904,87.2769782204377,Private,2,Premium,2,"General Surgery, Cardiology, Orthopedics, Endocrinology, Urology, Gastroenterology",2823,True,134,4.8,True,True,
आरोग्य स्वस्थ्य सदन,hospital,Kathmandu,27.6736945775723,85.311840099398,Private,2,Standard,1,"Dermatology, Urology, Endocrinology, Gastroenterology",851,True,185,3.3,True,True,
Kathmandu Model Hospital,hospital,Dharan,,,Private,2,Premium,2,"Dermatology, Endocrinology, Infectious Disease, Urology, Gastroenterology, Neurology",1645,True,128,4.6,True,True,
Tranquiliy Hospital and Research Center,hospital,Itahari,,,Private,2,Premium,2,"Endocrinology, General Medicine, Orthopedics, General Surgery, Gastroenterology, Dermatology",2672,True,167,3.5,False,True,
Urban Health Care Center,clinic,Biratnagar,26.7871100849632,86.257135548967,Private,2,Standard,1,"Infectious Disease, Gastroenterology, Dermatology",745,False,0,3.1,False,True,
Novo Dental Clinic,clinic,Kathmandu,27.6850221329781,85.345594777849,Private,2,Budget,0,Gastroenterology,384,False,0,3.3,False,False,
Kadamandau Health Post,clinic,Biratnagar,29.2772502200186,81.0847247913987,Private,2,Budget,0,"Dermatology, Infectious Disease",540,False,0,2.5,False,False,
Mediscope Clinic and Pharmacy,clinic,Kathmandu,27.7428781358143,85.315601394628,Private,2,Budget,0,"Infectious Disease, Dermatology, General Medicine",404,False,0,3.2,False,False,
Basundhara Polyclinic,clinic,Butwal,,,Private,2,Standard,1,Gastroenterology,887,False,0,3.4,False,False,
हासिपुर स्वाथ्य चौकी,clinic,Dolpa,27.9445768172014,82.6868872777184,Private,2,Budget,0,"Gastroenterology, Dermatology",512,False,0,3.0,True,True,
मानपुर स्वास्थ्य चौकी 7 बुद्धभूमि,clinic,Biratnagar,27.6029471238363,82.9311522809058,Private,2,Budget,0,"General Medicine, Dermatology",229,False,0,2.8,False,False,
Bharatpur Central Hospital,hospital,Baglung,27.6785353781121,84.4308247947143,Private,2,Standard,1,"Dermatology, Endocrinology, Cardiology, Gastroenterology",1498,True,54,3.1,True,True,
Himalaya Medicine Center,clinic,Nepalgunj,26.6424663479259,87.991509565899,Private,2,Standard,1,"General Medicine, Dermatology, Infectious Disease",864,False,0,3.0,False,False,
Carving Hands Polyclinic & Diagnostics,clinic,Kathmandu,27.712117976091,85.3340809765547,Private,2,Budget,0,"Infectious Disease, General Medicine",369,False,0,2.9,False,True,
Urban Health Centre,clinic,Lalitpur,28.9210310698087,80.4205105974212,Private,2,Budget,0,"Infectious Disease, Dermatology, General Medicine",251,False,0,3.4,False,True,
Aghaulu Health Post,clinic,Gorkha,27.6066340715852,84.0949859906137,Private,2,Budget,0,Infectious Disease,201,False,0,2.7,False,True,
rakhi health post,clinic,Nepalgunj,,,Private,2,Budget,0,General Medicine,433,False,0,2.9,False,False,
A.R Hospital,hospital,Tanahu,28.0651408551638,81.6277994459419,Private,2,Premium,2,"Gastroenterology, Orthopedics, Pulmonology, Dermatology, Endocrinology, General Medicine",2782,True,307,4.8,True,True,
Dhamuli Health Post,clinic,Butwal,27.543844145265,83.3247680464956,Private,2,Budget,0,"General Medicine, Infectious Disease, Dermatology",557,False,0,2.8,True,True,
Shanti Heath Clinic,clinic,Kathmandu,27.0282344728505,85.0020064851693,Private,2,Standard,1,"Infectious Disease, General Medicine",911,False,0,3.6,True,False,
Aadharbhut swasthya sewa kedra simser,clinic,Sunsari,28.9784203682761,81.5972179883943,Private,2,Standard,1,Gastroenterology,1242,False,0,4.0,False,True,
Everest Health Clinic,clinic,Syangja,27.0281714409386,85.0019378373823,Private,2,Budget,0,"Infectious Disease, General Medicine",271,False,0,3.1,False,False,
एसआरएल डायग्नोस्टिक,clinic,Kathmandu,27.6905261935161,85.3180121976188,Private,2,Budget,0,General Medicine,213,False,0,3.3,False,False,
लक्ष्मीपुर स्वास्थ्य चौकी,hospital,Birgunj,28.0767856656047,82.315192116765,Private,2,Premium,2,"Orthopedics, Endocrinology, Neurology, Dermatology, Gastroenterology, General Surgery",2232,True,241,5.0,True,True,
Shisawa swasthya chauki,clinic,Birgunj,27.5276221451391,82.9310912606507,Private,2,Budget,0,"General Medicine, Dermatology, Infectious Disease",262,False,0,3.2,False,False,
Aadarsha Swastha Sewa Kendra,clinic,Kathmandu,27.654742926859,84.5079726697137,Private,2,Standard,1,"Infectious Disease, Dermatology",1389,False,0,3.3,False,False,
Chhapre Health Post,clinic,Hetauda,28.8899525654029,81.4150870276038,Private,2,Standard,1,"Dermatology, General Medicine",1043,False,0,3.6,False,True,
Urban Health Care Unit,clinic,Tanahu,27.6940329303468,84.2677437205424,Private,2,Standard,1,General Medicine,786,False,0,3.7,False,False,
आंखा अस्पताल,hospital,Gorkha,,,Private,2,Premium,2,"Cardiology, Urology, Pulmonology, Dermatology, Endocrinology, Neurology",2947,True,469,4.4,True,True,
Shiddhibinayak Medical,clinic,Dhanusha,26.6728894713225,87.704254535706,Private,2,Budget,0,"General Medicine, Gastroenterology, Dermatology",558,False,0,3.0,False,True,
Rim health post,hospital,Parbat,,,Private,2,Premium,2,"Neurology, Dermatology, Urology, General Surgery, Cardiology, Orthopedics",2538,True,373,3.9,True,True,
Seram Health Post,clinic,Morang,28.3864802240597,82.8175353319318,Private,2,Standard,1,"General Medicine, Dermatology, Gastroenterology",1334,False,0,4.1,False,False,
सामुदायिक स्वास्थ्य इकाइ,clinic,Dang,27.7476361231507,86.0317763474826,Private,2,Budget,0,"Dermatology, Infectious Disease",327,False,0,3.0,False,False,
Kadambas Health Post,clinic,Hetauda,27.7298458689411,85.7682211485127,Private,2,Budget,0,"General Medicine, Dermatology, Infectious Disease",388,False,0,3.3,True,False,
Fishtail Hospital & Research Centre,hospital,Lalitpur,,,Private,2,Premium,2,"General Medicine, Urology, Endocrinology, Dermatology, Pulmonology, Neurology",1925,True,196,4.7,False,True,
"Urban Health Center, Buddhachowk",clinic,Bhaktapur,27.3920331266431,87.2995733168225,Private,2,Budget,0,"Gastroenterology, Infectious Disease, Dermatology",516,False,0,3.2,True,True,
Singati Community Hospital,hospital,Lalitpur,27.7362129302297,86.1605954704235,Private,2,Premium,2,"Orthopedics, Dermatology, Endocrinology, Urology, Infectious Disease, Neurology",2405,True,290,4.2,True,True,
Hira Health Clinic,clinic,Dang,28.6770568348423,80.4405600259932,Private,2,Standard,1,"General Medicine, Infectious Disease, Dermatology",1174,False,0,3.7,False,True,
Mathiya Swasth Chowki,clinic,Kathmandu,26.7817068587204,85.2031430761296,Private,2,Budget,0,"General Medicine, Dermatology",443,False,0,2.9,False,True,
Jila Ayurved Swastha Kendra,clinic,Itahari,27.0159244745737,84.8941421201622,Private,2,Standard,1,"Gastroenterology, General Medicine",1027,False,0,4.2,False,False,
"Basic Health Care Center, Jahabi",clinic,Dharan,28.5509252853351,81.050136365039,Private,2,Budget,0,General Medicine,411,False,0,3.0,False,False,
लेखपराजुल स्वास्थ्य चौकी,clinic,Dang,28.4636401689996,81.6433410869872,Private,2,Budget,0,Dermatology,538,False,0,3.2,True,False,
Oral And Dental Clinic,clinic,Kathmandu,27.7067569946403,85.3227729509833,Private,2,Budget,0,Gastroenterology,296,False,0,2.7,False,False,
Basic health services center,clinic,Itahari,28.8494198609506,80.4058015308182,Private,2,Standard,1,"Dermatology, General Medicine",503,False,0,4.1,False,False,
Aabhahan Clinic,clinic,Chitwan,29.607993748999,81.3044218496513,Private,2,Standard,1,"Dermatology, Gastroenterology",1153,False,0,3.1,False,False,
Rajeshwari Health Clinic 1 Parsagadhi MP,clinic,Kathmandu,27.1779040828496,84.8664092524082,Private,2,Standard,1,Gastroenterology,1480,False,0,3.7,False,True,
Thanapathi Community Health Care Unit,clinic,Birgunj,28.2632655768568,83.2157210787698,Private,2,Budget,0,"General Medicine, Gastroenterology",364,False,0,3.0,False,False,
हरपल होलिस्टिक होम केयर सेन्टर,clinic,Dolpa,28.0610315433139,81.6151158662407,Private,2,Standard,1,"Infectious Disease, Gastroenterology",517,False,0,3.8,False,True,
